user_id,course_id,module,action,timecreated,extra_json
1,1,assign,submitted,1763337600,{}
1,1,forum,attempted,1764882000,{}
1,1,page,viewed,1762592400,{}
1,1,forum,commented,1763344800,{}
1,1,course,commented,1762974000,{}
1,1,assign,submitted,1764367200,{}
1,1,course,viewed,1763028000,{}
1,1,course,submitted,1763694000,{}
1,1,page,graded,1765033200,{}
1,1,quiz,commented,1763179200,{}
1,1,course,submitted,1765159200,{}
1,1,page,viewed,1765058400,{}
1,1,quiz,submitted,1764730800,{}
1,1,forum,viewed,1765062000,{}
1,1,page,commented,1764255600,{}
1,1,forum,commented,1764291600,{}
1,1,assign,graded,1764676800,{}
1,2,course,viewed,1762776000,{}
1,2,forum,submitted,1762938000,{}
1,2,forum,graded,1763989200,{}
1,2,page,attempted,1762372800,{}
1,2,quiz,viewed,1763978400,{}
1,2,assign,commented,1763607600,{}
1,2,quiz,submitted,1763150400,{}
1,2,forum,attempted,1763449200,{}
1,3,course,attempted,1765828800,{}
1,3,quiz,submitted,1767909600,{}
1,3,assign,commented,1767805200,{}
1,3,assign,attempted,1767391200,{}
1,3,course,attempted,1766318400,{}
1,3,forum,viewed,1766422800,{}
1,3,forum,commented,1766296800,{}
1,3,page,graded,1767276000,{}
1,3,course,graded,1767470400,{}
1,3,assign,submitted,1765951200,{}
1,3,course,submitted,1767510000,{}
1,3,page,graded,1767913200,{}
1,4,page,graded,1764381600,{}
1,4,page,graded,1765519200,{}
1,4,page,viewed,1766437200,{}
1,4,quiz,graded,1765785600,{}
1,4,forum,commented,1766242800,{}
1,4,quiz,attempted,1764594000,{}
1,4,quiz,commented,1766656800,{}
1,4,forum,submitted,1766066400,{}
1,4,page,graded,1765609200,{}
1,4,assign,submitted,1766754000,{}
1,5,course,graded,1760745600,{}
1,5,course,submitted,1760738400,{}
1,5,assign,viewed,1759770000,{}
1,5,page,submitted,1758985200,{}
1,5,course,attempted,1761282000,{}
1,5,forum,commented,1760450400,{}
1,5,page,submitted,1759104000,{}
1,5,assign,commented,1758783600,{}
1,5,forum,submitted,1760014800,{}
1,5,page,viewed,1760497200,{}
1,5,page,graded,1760810400,{}
2,1,course,viewed,1762920000,{}
2,1,page,attempted,1762153200,{}
2,1,forum,attempted,1762574400,{}
2,1,quiz,viewed,1763578800,{}
2,1,assign,commented,1764194400,{}
2,1,page,graded,1763337600,{}
2,1,course,graded,1763539200,{}
2,1,forum,submitted,1762221600,{}
2,1,course,commented,1763085600,{}
2,1,forum,commented,1763499600,{}
2,1,forum,attempted,1762200000,{}
2,1,course,submitted,1763942400,{}
2,1,course,submitted,1764637200,{}
2,1,assign,viewed,1764370800,{}
2,1,quiz,viewed,1763488800,{}
2,1,forum,submitted,1762070400,{}
2,1,course,attempted,1763715600,{}
2,1,course,viewed,1762664400,{}
2,1,quiz,attempted,1763384400,{}
2,2,course,submitted,1763352000,{}
2,2,forum,graded,1762934400,{}
2,2,page,submitted,1764028800,{}
2,2,quiz,attempted,1763762400,{}
2,2,forum,attempted,1764698400,{}
2,2,course,viewed,1763557200,{}
2,2,assign,submitted,1762761600,{}
2,2,assign,attempted,1762952400,{}
2,2,forum,graded,1763643600,{}
2,2,forum,commented,1762858800,{}
3,1,quiz,commented,1763982000,{}
3,1,page,commented,1764230400,{}
3,1,page,submitted,1762686000,{}
3,1,course,graded,1763974800,{}
3,1,assign,graded,1764291600,{}
3,1,forum,attempted,1764115200,{}
3,1,assign,graded,1762963200,{}
3,3,forum,submitted,1766649600,{}
3,3,course,attempted,1765814400,{}
3,3,forum,commented,1765947600,{}
3,3,course,graded,1765821600,{}
3,3,quiz,submitted,1768154400,{}
3,3,quiz,viewed,1767970800,{}
3,3,assign,commented,1765915200,{}
3,3,course,submitted,1768215600,{}
3,3,quiz,attempted,1767078000,{}
3,3,course,attempted,1767913200,{}
3,3,forum,graded,1766642400,{}
3,3,forum,viewed,1767110400,{}
3,3,assign,graded,1768035600,{}
3,3,assign,graded,1768248000,{}
3,3,forum,attempted,1767855600,{}
3,3,page,attempted,1767297600,{}
3,3,course,attempted,1765987200,{}
3,3,assign,submitted,1767528000,{}
3,4,quiz,viewed,1765756800,{}
3,4,quiz,submitted,1766707200,{}
3,4,page,commented,1766001600,{}
3,4,quiz,commented,1764601200,{}
3,4,quiz,commented,1765533600,{}
3,4,assign,graded,1765580400,{}
3,4,quiz,commented,1765854000,{}
3,4,course,viewed,1766228400,{}
3,4,assign,viewed,1764374400,{}
3,4,course,viewed,1764615600,{}
3,4,forum,commented,1766138400,{}
3,4,page,attempted,1766278800,{}
3,4,assign,commented,1766707200,{}
3,4,forum,viewed,1765472400,{}
3,4,forum,submitted,1765155600,{}
3,4,course,commented,1766707200,{}
3,4,quiz,submitted,1766080800,{}
3,5,assign,attempted,1760630400,{}
3,5,assign,viewed,1761382800,{}
3,5,forum,graded,1759903200,{}
3,5,page,commented,1761534000,{}
3,5,quiz,viewed,1759993200,{}
3,5,assign,attempted,1759878000,{}
4,2,page,graded,1762790400,{}
4,2,course,attempted,1762693200,{}
4,2,quiz,attempted,1763038800,{}
4,2,page,attempted,1764230400,{}
4,2,course,graded,1764367200,{}
4,2,page,graded,1762048800,{}
4,2,course,viewed,1762797600,{}
4,2,assign,commented,1763013600,{}
4,3,page,commented,1765288800,{}
4,3,forum,attempted,1765803600,{}
4,3,page,viewed,1767711600,{}
4,3,course,submitted,1767837600,{}
4,3,quiz,submitted,1767427200,{}
4,3,quiz,graded,1766617200,{}
4,3,assign,attempted,1766275200,{}
4,3,course,commented,1767466800,{}
4,3,assign,submitted,1767142800,{}
4,3,page,viewed,1766311200,{}
4,3,assign,viewed,1766307600,{}
4,3,course,submitted,1765828800,{}
4,3,quiz,viewed,1766361600,{}
4,3,assign,commented,1765785600,{}
4,3,quiz,viewed,1767945600,{}
4,3,forum,commented,1766455200,{}
4,4,forum,commented,1765234800,{}
4,4,course,viewed,1764684000,{}
4,4,quiz,attempted,1764687600,{}
4,4,assign,viewed,1764403200,{}
4,4,page,attempted,1766178000,{}
4,4,page,commented,1766314800,{}
4,4,page,viewed,1765137600,{}
4,4,assign,attempted,1766448000,{}
4,4,forum,submitted,1764756000,{}
5,1,quiz,submitted,1762488000,{}
5,1,assign,commented,1763647200,{}
5,1,forum,attempted,1763697600,{}
5,1,forum,submitted,1762239600,{}
5,1,assign,commented,1762401600,{}
5,1,assign,submitted,1761901200,{}
5,1,forum,submitted,1762909200,{}
5,1,page,commented,1761962400,{}
5,1,assign,submitted,1763200800,{}
5,1,page,viewed,1762696800,{}
5,1,course,graded,1763215200,{}
5,1,quiz,graded,1762074000,{}
5,2,assign,graded,1764349200,{}
5,2,assign,viewed,1764824400,{}
5,2,quiz,submitted,1762405200,{}
5,2,quiz,attempted,1763233200,{}
5,2,assign,graded,1762707600,{}
5,2,quiz,graded,1765047600,{}
5,2,course,viewed,1763190000,{}
5,2,assign,graded,1764277200,{}
5,2,quiz,attempted,1763434800,{}
5,2,quiz,submitted,1763852400,{}
5,2,assign,attempted,1764158400,{}
5,2,course,submitted,1763445600,{}
5,2,forum,viewed,1764212400,{}
5,2,assign,submitted,1762552800,{}
5,2,course,viewed,1764352800,{}
5,2,forum,graded,1765054800,{}
5,3,assign,attempted,1767664800,{}
5,3,course,submitted,1767625200,{}
5,3,forum,graded,1766188800,{}
5,3,quiz,graded,1768104000,{}
5,3,course,commented,1766905200,{}
5,3,page,attempted,1765850400,{}
5,3,course,submitted,1768186800,{}
5,3,assign,graded,1767294000,{}
5,3,course,submitted,1765774800,{}
5,3,page,attempted,1767654000,{}
5,3,course,submitted,1768014000,{}
5,3,page,attempted,1766890800,{}
5,3,page,attempted,1767740400,{}
5,3,assign,viewed,1766336400,{}
5,5,forum,viewed,1760338800,{}
5,5,page,attempted,1761238800,{}
5,5,forum,graded,1760745600,{}
5,5,quiz,graded,1759564800,{}
5,5,assign,submitted,1760241600,{}
5,5,assign,graded,1758909600,{}
5,5,assign,graded,1758920400,{}
5,5,quiz,viewed,1761282000,{}
5,5,assign,attempted,1760515200,{}
5,5,quiz,attempted,1759021200,{}
6,1,forum,graded,1763362800,{}
6,1,page,attempted,1764493200,{}
6,1,course,viewed,1763305200,{}
6,1,assign,graded,1764777600,{}
6,1,course,attempted,1762952400,{}
6,1,course,commented,1764370800,{}
6,1,quiz,attempted,1765155600,{}
6,1,page,submitted,1763982000,{}
6,1,assign,attempted,1763384400,{}
6,1,assign,commented,1764262800,{}
6,1,page,graded,1763179200,{}
6,1,course,commented,1762891200,{}
6,1,assign,submitted,1762974000,{}
6,1,page,submitted,1763074800,{}
6,1,course,graded,1764252000,{}
6,1,page,attempted,1762941600,{}
6,2,course,commented,1762761600,{}
6,2,page,viewed,1763229600,{}
6,2,assign,viewed,1764619200,{}
6,2,page,commented,1764226800,{}
6,2,course,viewed,1762585200,{}
6,2,course,graded,1762945200,{}
6,2,forum,viewed,1762992000,{}
6,2,course,attempted,1764734400,{}
6,2,course,submitted,1764597600,{}
6,2,forum,commented,1762974000,{}
6,2,quiz,graded,1764838800,{}
6,3,course,attempted,1765879200,{}
6,3,forum,viewed,1767438000,{}
6,3,course,attempted,1765512000,{}
6,3,forum,commented,1766296800,{}
6,3,assign,viewed,1765854000,{}
6,3,page,submitted,1766160000,{}
6,3,quiz,submitted,1766530800,{}
6,3,page,viewed,1768089600,{}
6,3,course,submitted,1766822400,{}
6,3,quiz,viewed,1765800000,{}
6,3,course,graded,1767186000,{}
6,3,course,attempted,1768021200,{}
6,3,page,attempted,1765872000,{}
6,3,assign,commented,1766440800,{}
6,3,quiz,attempted,1765929600,{}
6,3,quiz,viewed,1767787200,{}
6,3,quiz,graded,1766253600,{}
6,3,course,viewed,1767747600,{}
6,3,assign,graded,1767855600,{}
6,3,page,commented,1765897200,{}
6,4,page,graded,1764561600,{}
6,4,quiz,submitted,1764590400,{}
6,4,quiz,graded,1764712800,{}
6,4,page,commented,1765580400,{}
6,4,quiz,submitted,1765951200,{}
6,4,assign,commented,1766469600,{}
6,4,page,attempted,1765422000,{}
6,5,assign,commented,1759867200,{}
6,5,page,attempted,1758574800,{}
6,5,assign,viewed,1759971600,{}
6,5,course,submitted,1758981600,{}
6,5,quiz,attempted,1760670000,{}
6,5,course,viewed,1759647600,{}
6,5,quiz,submitted,1760882400,{}
6,5,assign,attempted,1759165200,{}
6,5,assign,submitted,1760889600,{}
6,5,course,submitted,1760608800,{}
6,5,assign,commented,1758675600,{}
6,5,page,graded,1760324400,{}
6,5,course,attempted,1758502800,{}
6,5,forum,submitted,1758564000,{}
6,5,quiz,submitted,1758351600,{}
6,5,course,viewed,1758535200,{}
6,5,assign,submitted,1759939200,{}
6,5,assign,attempted,1759716000,{}
6,5,page,commented,1760270400,{}
6,5,page,viewed,1760360400,{}
7,1,course,viewed,1762430400,{}
7,1,forum,submitted,1763816400,{}
7,1,page,commented,1762200000,{}
7,1,quiz,attempted,1763704800,{}
7,1,assign,commented,1763571600,{}
7,1,quiz,viewed,1764680400,{}
7,1,assign,submitted,1763582400,{}
7,1,course,submitted,1763262000,{}
7,1,forum,attempted,1763211600,{}
7,1,page,commented,1764410400,{}
7,1,page,commented,1763092800,{}
7,1,quiz,commented,1762592400,{}
7,1,course,viewed,1762704000,{}
7,1,forum,graded,1762369200,{}
7,4,assign,attempted,1765051200,{}
7,4,assign,attempted,1764680400,{}
7,4,assign,attempted,1764446400,{}
7,4,course,submitted,1765004400,{}
7,4,forum,attempted,1765112400,{}
7,5,course,viewed,1760130000,{}
7,5,quiz,viewed,1759392000,{}
7,5,page,attempted,1759503600,{}
7,5,page,graded,1759075200,{}
7,5,course,graded,1758945600,{}
7,5,forum,viewed,1759726800,{}
8,1,page,commented,1762038000,{}
